单间 | 非中介，保利酒吧街附近现有三室一卫精装空调主卧适合2,通江 世贸国际广场,900,http://jxjump.58.com/service?target=INKicKZPP1UEhIHuBQyP3HVk6MOpffA1LZzSMrPq9aCXnmZIdrWvknSPwy7LRseG2xG3iRAC1QZdw_wbt5OaBJBRzqHHgkvpSg16J0Lk4BOaNeagZ8bmFA9F8Ej7sSq9xwESoETMzYyfNX6uAJBWgN-7yncV3hY2TLJpgX7nc-CMBJAjwcic2q3XVnWZEOMblPyuwZ9bFpc&local=93&pubid=7293731&apptype=0&psid=190608932194821879730868710&entinfo=28963786063297_0&cookie=|||c5/ns1iYQHc3ty9zBEH9Ag==
整租 | 周新苑 2室1厅出租1500 家庭式装修家电齐全 交,雪浪 周新苑三期二批,1500,http://jxjump.58.com/service?target=INKicKZPP1XJ2FI5AKZJ7lFm4eEH5-ItGdhn5XIFjW_LigeSdwO_Vwuof1OgHjeWgqBjBIG5NTFm-gTxc68WyFd1R3BxuU5Sa7OKf4P87Qk2Izz4Hh89BIjuQ2ZWxh8svhaE3AIn0kQeyFVcrgA_hWMvBSkpscE-o7t1oBk7M_YJe4wfMIlDHFMEma0sM7xAkNqpZVfJ7ks&local=93&pubid=7298743&apptype=0&psid=190608932194821879730868710&entinfo=28965085732788_0&cookie=|||c5/ns1iYQHc3ty9zBEH9Ag==
单间 | 北大街常发欧风新天 4室1厅 中等装修 朝南北 主卧,北大街 常发欧风新天地,500,http://jxjump.58.com/service?target=INKicKZPP1UEhIHuBQyP3HVk6MOpffA1Y6KYk86SvnzkvKn7cK_POnSPwy7LRseGItuNc_f_AB4XK5VUblhl6UGEm6bFz7QIpzJFb7b1AUMfwY6abkU9nIevNg3tI5-vT509IDedFBCgZFlptSVeqTbDDaJA0XvmNQ8LLNhc0BHYJ0DIGaY-Zd3N333bAADWbN_qdtYkTNs&local=93&pubid=7198256&apptype=0&psid=190608932194821879730868710&entinfo=23221587059977_0&cookie=|||c5/ns1iYQHc3ty9zBEH9Ag==
单间 | 押一付一隐秀苑精装设施全合租设施全靠近联创奥林家乐福,太湖 隐秀苑住宅小区,950,http://jxjump.58.com/service?target=INKicKZPP1UEhIHuBQyP3HVk6MOpffA11EJqoTEpBHSP4chTz8G3m3SPwy7LRseGlGK0TvXIZFPqx-eXPvwMqnOVP5s7-iWzkwk7iPCnbS2l_ZiBHb5v6-MxytthrUmoelk524I7rIFyBLAX8fznJWCH65hgCQ6X-8-e_XcbFOus57NkdXRy7vg4euiIN6TsRx4yNlZg74I&local=93&pubid=7270971&apptype=0&psid=190608932194821879730868710&entinfo=28964351269036_0&cookie=|||c5/ns1iYQHc3ty9zBEH9Ag==
单间 | 北塘金太湖、欧风花园 、次卧、房东急租、中介勿扰,北大街 金太湖国际城,500,http://jxjump.58.com/service?target=INKicKZPP1UEhIHuBQyP3HVk6MOpffA1GaAvAZxk3VB5Su-q5yJuanSPwy7LRseGhrENXDNZAUrUMtHS33qW9odmZd7gWOaGDSqvTY8cgHKl_ZiBHb5v6-MxytthrUmoelk524I7rIFyBLAX8fznJcb61VXiZor1RF9v-iXotiSs57NkdXRy7vg4euiIN6Ts9iB2NAz7piI&local=93&pubid=7293893&apptype=0&psid=190608932194821879730868710&entinfo=27712172097851_0&cookie=|||c5/ns1iYQHc3ty9zBEH9Ag==
整租 | 交通便利 随时入住 独立厨卫 精装全配 家电齐全 配,滨湖周边 凯发苑,1700,http://jxjump.58.com/service?target=INKicKZPP1XJ2FI5AKZJ7lFm4eEH5-ItRjLmIXeo0p7eEB9zE00rEAuof1OgHjeWV4DBAMLNN2dCw1adX7o49Vd1R3BxuU5S7h4xJRJjsgc2Izz4Hh89BIjuQ2ZWxh8svhaE3AIn0kQeyFVcrgA_hbrc3eKLtLpJccuoOqDn7nUJe4wfMIlDHFMEma0sM7xAweHiOiHM2Kg&local=93&pubid=7290037&apptype=0&psid=190608932194821879730868710&entinfo=28965764101182_0&cookie=|||c5/ns1iYQHc3ty9zBEH9Ag==
单间 | (个人房源)北大街 梨花家园 精装一室一卫,北大街 梨花家园,1100,http://jxjump.58.com/service?target=INKicKZPP1UEhIHuBQyP3HVk6MOpffA1KIXrSqwbHwC29XiUkk2yhXSPwy7LRseGqJSrgUu2eXjLaCqjl68gbld1R3BxuU5SQAG5RB6MgK42Izz4Hh89BIjuQ2ZWxh8svhaE3AIn0kSzCNZRMiOAMME7nYmWQu3ezhWrnPEwNNzrZKLB3ZjmrHy1N2D9OATZklVf2XzYws0&local=93&pubid=7232341&apptype=0&psid=190608932194821879730868710&entinfo=11941792161289_0&cookie=|||c5/ns1iYQHc3ty9zBEH9Ag==
整租 | 花园中的豪华酒店， 你值得拥有,长江路 长江国际花园,2200,http://jxjump.58.com/service?target=INKicKZPP1XJ2FI5AKZJ7lFm4eEH5-ItlhOkOglYxvGk4bnV9RBxjAuof1OgHjeWUAkaz8ORH4KHtouqF6IdBVd1R3BxuU5SShZOFO4_qu5ilWIjSJZwuuMxytthrUmoelk524I7rIFq5ojQWRx9N6VbpjthZRvRD2DtRdp2DI81Dwss2FzQEdgnQMgZpj5l4GUoJ7OWzOHu4YtOErJaKQ&local=93&pubid=7250844&apptype=0&psid=190608932194821879730868710&entinfo=28320770543034_0&cookie=|||c5/ns1iYQHc3ty9zBEH9Ag==
单间 | 世茂简装单间合租出租 拎包入住,黄巷 世茂首府,800,http://jxjump.58.com/service?target=INKicKZPP1UEhIHuBQyP3HVk6MOpffA1ipjNPKC4TkyFOsqlGmsPMHSPwy7LRseGBC2xqy13-_DYwGA52UNt13wmowuR79WpPrAHgApSN0P5BySc5SVsWOMxytthrUmoelk524I7rIFyBLAX8fznJeozx5MuWZ4Vr-zzuDXFDSSs57NkdXRy7vg4euiIN6Tsx4GCDqPWPTI&local=93&pubid=7227942&apptype=0&psid=190608932194821879730868710&entinfo=28950377618092_0&cookie=|||c5/ns1iYQHc3ty9zBEH9Ag==
单间 | 美湖家园单间出租600 精装修家电齐全 拎包入住 环,蠡湖 美湖家园,600,http://jxjump.58.com/service?target=INKicKZPP1UEhIHuBQyP3HVk6MOpffA1_9TchfhxvEVItvRKqnYd3nSPwy7LRseGVLWzZ31wkQlMxUZLCIiCOa_JqVw48OlnMb0zt6D4N1IBrKpKGgWv_-MxytthrUmoelk524I7rIFyBLAX8fznJdMWiq7riUjvQpfvTiOwQYCs57NkdXRy7vg4euiIN6Ts6ew83dB_WhA&local=93&pubid=7298726&apptype=0&psid=190608932194821879730868710&entinfo=28963511590480_0&cookie=|||c5/ns1iYQHc3ty9zBEH9Ag==
